,Code Pays,Pays,Importations de Champagne (€),Importations de vin ($),Part de Vin dans la consommation d'alcool (%),Importations totales en % du PIB,Nombre annuel de touristes,Population totale,Nombre d'expatriés français,PIB par habitant en PPA,Taux de pauvreté (%),Taux d'inscription dans le supérieur (%),Global Peace Index,Pourcentage De Musulmans (%),Distance avec la France (km),Taxes de Douane (%)
120,SGP,SINGAPOUR,29 287 028,"$540,614,000",14.6,144.69057545566017,17863000.0,5649517.6,14 682,97281.13729861267,,87.1773319244385,1.3817999999999997,.7,10748.26,0.0
121,SVK,SLOVAQUIE,2 216 366,"$83,787,000",20.9,90.94624486556313,16391000.0,5445955.0,1 009,31172.225531183194,"12,7(2015)",46.556640625,1.5756000000000001,.1,1094.61,
122,VNM,VIET NAM,3 370 244,"$49,761,000",0.8,99.94739983464773,14110500.0,95517545.6,,7704.930246847507,,28.59247493743895,,,9208.554,
123,SVN,SLOVÉNIE,1 099 945,"$14,091,000",50.6,72.70983330447159,4128750.0,2078767.0,731,38136.456511094366,"13,9(2015)",77.85849189758298,1.387,.6,965.7366,
124,ZAF,AFRIQUE DU SUD,25 482 053,"$25,239,000",18.5,26.215384218231556,14974250.0,57775375.4,7 784,13892.636825611398,"55,5(2014)",22.738249778747576,2.3614000000000006,,9353.552,25.0
125,ESP,ESPAGNE,91 523 694,"$193,703,000",18,31.010730389775773,121976000.0,46872028.0,83 614,39603.482243430175,"22,3(2015)",89.84100341796875,1.6134,.6,1054.656,
126,SUR,SURINAME,268 341,,3.5,,268000.0,575873.6,229,17875.685951534007,"70,0(2002)",,,.9,7196.987,50.0
127,SWE,SUÈDE,54 063 521,"$810,656,000",47.8,41.57572125470343,7223000.0,10157665.2,8 629,53239.784283065565,"15,0(2014)",70.08163452148435,1.4654,.1,1545.797,
128,CHE,SUISSE,121 016 820,"$1,240,083,000",48.1,53.85938414859304,11267000.0,8510336.6,184 887,70756.91694153429,"14,7(2015)",60.57386207580565,1.3923999999999999,.2,436.0778,
129,THA,THAÏLANDE,8 769 297,"$49,119,000",2.7,52.08382873392285,36554000.0,69407028.6,13 298,18005.84615308693,"8,6(2016)",49.2868118286133,2.3126,.3,9454.805,54.0
130,TGO,TOGO,3 110 900,"$20,708,000",16,33.602957357499285,575250.0,7891723.8,2 721,2102.31518449785,"55,1(2015)",13.6875720977783,2.0342,20,4753.381,20.0
131,TTO,TRINITÉ-ET-TOBAGO,1 622 967,,3.3,,484500.0,1389184.8,323,26309.503708340657,"20,0(2014)",,2.0840000000000005,.8,7225.325,
132,ARE,ÉMIRATS ARABES UNIS,49 484 254,"$102,615,000",7.7,72.1713290208771,20550000.0,9628014.6,23 736,67525.15719118773,"19,5(2003)",53.1614990234375,1.8199999999999998,,5249.535,
133,TUN,TUNISIE,448 600,,23.9,53.779202812678115,7626000.0,11563184.4,23 230,11321.123060963027,"15,2(2015)",32.1396322250366,1.9914,99,1483.828,36.0
134,TUR,TURQUIE,4 541 647,"$12,197,000",8.6,29.771837726995834,41684250.0,82210616.6,12 781,27557.83261476452,"13,5(2017)",114.129566192627,2.7872,.5,2255.81,70.0
135,TCA,ÎLES TURKS ET CAÏQUES,1 081 118,,,,1400250.0,37650.6,,27003.277869863367,,,,,7041.488,
136,UGA,OUGANDA,5 794,,0.1,20.869472691730206,1362500.0,42711076.0,390,2182.3262496551697,"21,4(2016)",5.06192016601563,2.1856,14,6128.938,25.0
137,UKR,UKRAINE,4 299 193,"$179,224,000",5.4,51.09816288378085,14091250.0,44595844.4,900,12412.148022861678,"1,3",,3.1297999999999995,.9,2025.144,
138,EGY,ÉGYPTE,351 212,,4.4,24.993602278512974,9515750.0,98407148.4,5 708,11741.825678037774,"27,8(2015)",35.97612635294596,2.556,.7,3215.215,3000.0
139,GBR,ROYAUME-UNI,431 289 284,"$4,396,922,000",35.7,30.51453713941775,40337250.0,66436483.2,147 548,46811.46204374187,"15,9(2015)",61.39436054229735,1.8232,.3,342.9475,
140,USA,ÉTATS-UNIS,665 230 321,"$5,883,811,000",18.1,14.514076030424793,171221789.0625,326569231.6,,61977.70350399574,"12,3(2017)",88.29758262634277,2.3006,.1,5838.157,
141,VIR,ÎLES VIERGES DES ÉTATS-UNIS,615 036,,,92.02436623832504,2131000.0,106951.4,,,,,,,,
142,BFA,BURKINA FASO,1 285 067,"$7,784,000",2.7,32.08959429128415,145500.0,19763142.6,3 687,2129.8041844337595,"40,1(2014)",6.6014180183410645,2.0432,,4082.87,20.0
143,URY,URUGUAY,537 469,"$11,294,000",43.7,21.31147417645518,3821250.0,3449106.4,2 833,23168.88146050345,"7,9(2017)",81.44013786315928,1.7297999999999998,.1,10972.42,20.0
144,UZB,OUZBÉKISTAN,744 325,,8.6,34.122944767022844,4203000.0,33001000.0,114,7256.128791205136,"14,0(2016)",11.244712066650402,2.1765999999999996,.7,5153.064,
145,VEN,VENEZUELA,696 240,"$10,320,000",0.3,,555000.0,29018523.6,3 213,,"33,1(2015)",,2.6066,.3,7618.86,
146,ZMB,ZAMBIE,11 933,,2.7,35.76960443096194,1075750.0,17362752.2,161,3513.863190037716,"54,4(2015)",,1.7995999999999999,1,7604.841,25.0
